epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,78.6952,1.10336,0.99176,1.0098,0.88128,0.82532,0.85861,0.57927,1.02592,0.90899,0.92448,0.00136334,0.00136334,0.00136334
94,79.5488,1.03836,0.94335,0.957,0.88004,0.78953,0.84339,0.57888,1.03064,0.89726,0.92313,0.00136004,0.00136004,0.00136004
95,80.3754,1.1376,1.08028,0.98037,0.88004,0.78953,0.84339,0.57888,1.03064,0.89726,0.92313,0.00135674,0.00135674,0.00135674
96,81.2158,1.21118,1.0108,0.96488,0.92426,0.77866,0.8423,0.58986,0.98988,0.88817,0.90991,0.00135344,0.00135344,0.00135344
97,82.1044,0.99136,1.07865,0.95618,0.92426,0.77866,0.8423,0.58986,0.98988,0.88817,0.90991,0.00135014,0.00135014,0.00135014
98,82.9635,0.95705,0.86975,0.93603,0.91994,0.82263,0.88164,0.60629,1.01092,0.80866,0.90526,0.00134684,0.00134684,0.00134684
99,83.7421,1.0222,1.00522,0.98146,0.91994,0.82263,0.88164,0.60629,1.01092,0.80866,0.90526,0.00134354,0.00134354,0.00134354
100,84.5892,1.19715,1.01476,0.95822,0.95818,0.81176,0.89597,0.64302,0.94406,0.74126,0.89251,0.00134023,0.00134023,0.00134023
101,85.4192,0.99591,0.8311,0.9202,0.95818,0.81176,0.89597,0.64302,0.94406,0.74126,0.89251,0.00133693,0.00133693,0.00133693
102,86.2651,1.13515,0.96283,0.92361,0.94909,0.85755,0.91602,0.63444,0.99177,0.72323,0.9014,0.00133363,0.00133363,0.00133363
103,87.1658,1.07401,0.96633,0.99392,0.94909,0.85755,0.91602,0.63444,0.99177,0.72323,0.9014,0.00133033,0.00133033,0.00133033
104,88.1486,1.15665,0.94805,1.01024,0.95188,0.85219,0.91904,0.64921,0.96105,0.7286,0.88697,0.00132703,0.00132703,0.00132703
105,88.9575,1.01989,0.93499,0.91,0.95188,0.85219,0.91904,0.64921,0.96105,0.7286,0.88697,0.00132373,0.00132373,0.00132373
106,89.7988,1.11705,0.9596,0.95527,0.96515,0.83381,0.91294,0.65516,0.93655,0.76717,0.87751,0.00132043,0.00132043,0.00132043
107,90.6144,1.00412,0.86833,0.904,0.96515,0.83381,0.91294,0.65516,0.93655,0.76717,0.87751,0.00131713,0.00131713,0.00131713
108,91.4585,1.02529,0.82237,0.8987,0.94682,0.80653,0.9114,0.65898,0.92171,0.81972,0.88413,0.00131383,0.00131383,0.00131383
109,92.2898,0.9369,0.77228,0.93714,0.94682,0.80653,0.9114,0.65898,0.92171,0.81972,0.88413,0.00131053,0.00131053,0.00131053
110,93.129,0.95299,0.80252,0.91766,0.89127,0.76581,0.86895,0.61995,0.94341,0.87558,0.89386,0.00130723,0.00130723,0.00130723
111,94.0111,0.9302,0.77595,0.94605,0.89127,0.76581,0.86895,0.61995,0.94341,0.87558,0.89386,0.00130393,0.00130393,0.00130393
112,94.9072,1.02991,0.95647,1.03469,0.77968,0.76383,0.84557,0.62203,0.92671,0.90348,0.89923,0.00130063,0.00130063,0.00130063
113,95.851,1.15353,0.95538,0.98063,0.77968,0.76383,0.84557,0.62203,0.92671,0.90348,0.89923,0.00129733,0.00129733,0.00129733
114,96.7008,1.00936,0.82219,0.94866,0.80819,0.83251,0.85829,0.64535,0.88651,0.8763,0.89973,0.00129403,0.00129403,0.00129403
115,97.5208,0.8946,0.78143,0.97218,0.80819,0.83251,0.85829,0.64535,0.88651,0.8763,0.89973,0.00129072,0.00129072,0.00129072
116,98.3839,0.93356,0.77089,0.92706,0.90342,0.84437,0.88706,0.65512,0.93613,0.80489,0.89213,0.00128742,0.00128742,0.00128742
117,99.1851,0.9973,0.83038,0.96472,0.90342,0.84437,0.88706,0.65512,0.93613,0.80489,0.89213,0.00128412,0.00128412,0.00128412
118,99.9974,1.02507,0.98388,0.94363,0.94009,0.84477,0.91695,0.67177,0.89452,0.76423,0.8782,0.00128082,0.00128082,0.00128082
119,101.223,1.06109,0.87012,0.95384,0.94009,0.84477,0.91695,0.67177,0.89452,0.76423,0.8782,0.00127752,0.00127752,0.00127752
120,102.091,1.11134,1.09951,0.99258,0.95529,0.85034,0.92461,0.69391,0.84579,0.69806,0.85799,0.00127422,0.00127422,0.00127422
121,102.941,0.94127,0.78639,0.94762,0.95529,0.85034,0.92461,0.69391,0.84579,0.69806,0.85799,0.00127092,0.00127092,0.00127092
122,103.743,0.99483,0.84032,0.96017,0.98404,0.8335,0.93056,0.6832,0.88133,0.68208,0.86414,0.00126762,0.00126762,0.00126762
123,104.522,0.95905,0.87584,0.97698,0.98404,0.8335,0.93056,0.6832,0.88133,0.68208,0.86414,0.00126432,0.00126432,0.00126432
124,105.345,0.92687,0.83076,0.94682,0.94987,0.89274,0.93656,0.66508,0.92707,0.69691,0.87974,0.00126102,0.00126102,0.00126102
125,106.126,0.91328,0.72349,0.90203,0.94987,0.89274,0.93656,0.66508,0.92707,0.69691,0.87974,0.00125772,0.00125772,0.00125772
126,106.972,1.11067,0.96468,0.92591,0.95242,0.89077,0.93766,0.67435,0.91756,0.69268,0.88631,0.00125442,0.00125442,0.00125442
127,107.809,1.07379,0.81051,0.96214,0.95242,0.89077,0.93766,0.67435,0.91756,0.69268,0.88631,0.00125112,0.00125112,0.00125112
128,108.636,0.92026,0.72302,0.9357,0.9194,0.89968,0.93151,0.67338,0.84952,0.65895,0.86892,0.00124782,0.00124782,0.00124782
129,109.449,0.93304,0.81476,0.91868,0.9194,0.89968,0.93151,0.67338,0.84952,0.65895,0.86892,0.00124452,0.00124452,0.00124452
130,110.282,0.86267,0.7036,0.90656,0.8741,0.82889,0.91647,0.65955,0.87389,0.65148,0.86297,0.00124121,0.00124121,0.00124121
131,111.115,0.9275,0.82334,0.95569,0.8741,0.82889,0.91647,0.65955,0.87389,0.65148,0.86297,0.00123791,0.00123791,0.00123791
132,111.979,0.92298,0.71222,0.8982,0.9517,0.81623,0.91934,0.66583,0.90811,0.65252,0.86535,0.00123461,0.00123461,0.00123461
133,112.819,0.87462,0.76441,0.91755,0.9517,0.81623,0.91934,0.66583,0.90811,0.65252,0.86535,0.00123131,0.00123131,0.00123131
134,113.674,0.94704,0.748,0.90859,0.93843,0.85623,0.93242,0.69485,0.81549,0.61231,0.85746,0.00122801,0.00122801,0.00122801
135,114.499,0.87473,0.74327,0.8947,0.93843,0.85623,0.93242,0.69485,0.81549,0.61231,0.85746,0.00122471,0.00122471,0.00122471
136,115.339,0.83427,0.76599,0.91136,0.92136,0.90962,0.94333,0.69966,0.81069,0.61518,0.86078,0.00122141,0.00122141,0.00122141
137,116.195,0.88721,0.75287,0.91414,0.92136,0.90962,0.94333,0.69966,0.81069,0.61518,0.86078,0.00121811,0.00121811,0.00121811
138,117.025,0.90815,0.72014,0.92262,0.94984,0.90826,0.9368,0.67672,0.83496,0.61523,0.85735,0.00121481,0.00121481,0.00121481
139,117.812,0.99391,0.77063,0.93003,0.94984,0.90826,0.9368,0.67672,0.83496,0.61523,0.85735,0.00121151,0.00121151,0.00121151
140,118.644,0.96013,0.74117,0.89767,0.92357,0.92342,0.93735,0.69916,0.81192,0.60142,0.85302,0.00120821,0.00120821,0.00120821
141,119.452,0.82876,0.74596,0.88877,0.92357,0.92342,0.93735,0.69916,0.81192,0.60142,0.85302,0.00120491,0.00120491,0.00120491
142,120.324,0.82445,0.71633,0.88907,0.9538,0.8942,0.93879,0.7014,0.82639,0.59928,0.85981,0.00120161,0.00120161,0.00120161
143,121.155,0.86822,0.74794,0.96579,0.9538,0.8942,0.93879,0.7014,0.82639,0.59928,0.85981,0.00119831,0.00119831,0.00119831
144,122.03,0.81899,0.69532,0.85954,0.98067,0.90069,0.93994,0.70084,0.82019,0.57526,0.85728,0.00119501,0.00119501,0.00119501
145,122.841,0.84279,0.70483,0.88627,0.98067,0.90069,0.93994,0.70084,0.82019,0.57526,0.85728,0.0011917,0.0011917,0.0011917
146,123.673,0.90886,0.71803,0.89669,0.99307,0.90069,0.94198,0.71774,0.77236,0.54693,0.84254,0.0011884,0.0011884,0.0011884
147,124.499,0.92002,0.72272,0.91454,0.99307,0.90069,0.94198,0.71774,0.77236,0.54693,0.84254,0.0011851,0.0011851,0.0011851
148,125.32,0.8853,0.7544,0.90005,0.98199,0.90822,0.94972,0.73035,0.75605,0.54694,0.84221,0.0011818,0.0011818,0.0011818
149,126.131,0.90244,0.654,0.90847,0.98199,0.90822,0.94972,0.73035,0.75605,0.54694,0.84221,0.0011785,0.0011785,0.0011785
150,126.999,0.98043,0.88506,1.02871,0.99967,0.93346,0.95202,0.72374,0.76565,0.55763,0.84297,0.0011752,0.0011752,0.0011752
